Metabolomic Feature,Putative Chemical Class
HILIC-neg_Cluster_1841,#N/A
HILIC-neg_Cluster_1843,#N/A
HILIC-neg_Cluster_1844,#N/A
HILIC-neg_Cluster_1845,#N/A
HILIC-neg_Cluster_1847,#N/A
HILIC-neg_Cluster_1848,#N/A
HILIC-neg_Cluster_1849,#N/A
HILIC-neg_Cluster_1850,#N/A
HILIC-neg_Cluster_1851,#N/A
HILIC-neg_Cluster_1852,#N/A
HILIC-neg_Cluster_1853,Phosphatidylethanolamines
HILIC-neg_Cluster_1854,#N/A
HILIC-neg_Cluster_1855,#N/A
HILIC-neg_Cluster_1856,#N/A
HILIC-pos_Cluster_0001,Amines
HILIC-pos_Cluster_0002,#N/A
HILIC-pos_Cluster_0003,#N/A
HILIC-pos_Cluster_0004,Piperidines
HILIC-pos_Cluster_0005,Piperidines
HILIC-pos_Cluster_0006,Piperidines
HILIC-pos_Cluster_0010,Aniline and substituted anilines
HILIC-pos_Cluster_0011,Tertiary alcohols
HILIC-pos_Cluster_0012,Piperidines
HILIC-pos_Cluster_0013,#N/A
HILIC-pos_Cluster_0014,Gamma butyrolactones
HILIC-pos_Cluster_0015,Alpha amino acids
HILIC-pos_Cluster_0016,Tertiary amines
HILIC-pos_Cluster_0017,#N/A
HILIC-pos_Cluster_0018,Organonitrogen compounds
HILIC-pos_Cluster_0019,Azolidines
HILIC-pos_Cluster_0020,"Amino acids, peptides, and analogues"
HILIC-pos_Cluster_0021,#N/A
HILIC-pos_Cluster_0025,#N/A
HILIC-pos_Cluster_0026,Toluenes
HILIC-pos_Cluster_0028,Aryl-aldehydes
HILIC-pos_Cluster_0029,#N/A
HILIC-pos_Cluster_0030,#N/A
HILIC-pos_Cluster_0031,#N/A
HILIC-pos_Cluster_0035,#N/A
HILIC-pos_Cluster_0037,Pyrrolidines
HILIC-pos_Cluster_0039,Piperidines
HILIC-pos_Cluster_0040,"Amino acids, peptides, and analogues"
HILIC-pos_Cluster_0042,"Amino acids, peptides, and analogues"
HILIC-pos_Cluster_0044,Pyrrolidines
HILIC-pos_Cluster_0045,"Amino acids, peptides, and analogues"
HILIC-pos_Cluster_0050,#N/A
HILIC-pos_Cluster_0051,#N/A
HILIC-pos_Cluster_0052,#N/A
HILIC-pos_Cluster_0055,#N/A
HILIC-pos_Cluster_0057,m-Xylenes
HILIC-pos_Cluster_0058,Benzaldehydes
HILIC-pos_Cluster_0059,Ketones
HILIC-pos_Cluster_0060,Pyridinecarboxylic acids and derivatives
HILIC-pos_Cluster_0063,Ketones
HILIC-pos_Cluster_0064,Ketones
HILIC-pos_Cluster_0065,#N/A
HILIC-pos_Cluster_0067,#N/A
HILIC-pos_Cluster_0068,Organonitrogen compounds
HILIC-pos_Cluster_0070,Azoles
HILIC-pos_Cluster_0071,N-alkylpyrrolidines
HILIC-pos_Cluster_0072,N-alkylpyrrolidines
HILIC-pos_Cluster_0073,#N/A
HILIC-pos_Cluster_0074,#N/A
HILIC-pos_Cluster_0076,#N/A
HILIC-pos_Cluster_0078,Azolidines
HILIC-pos_Cluster_0080,#N/A
HILIC-pos_Cluster_0084,#N/A
HILIC-pos_Cluster_0085,#N/A
HILIC-pos_Cluster_0087,Organonitrogen compounds
HILIC-pos_Cluster_0088,Amines
HILIC-pos_Cluster_0095,Carboximidic acids and derivatives
HILIC-pos_Cluster_0096,#N/A
HILIC-pos_Cluster_0098,Dihydrothiophenes
HILIC-pos_Cluster_0101,Alkyl-phenylketones
HILIC-pos_Cluster_0102,Benzoxazolones
HILIC-pos_Cluster_0103,#N/A
HILIC-pos_Cluster_0104,Purines and purine derivatives
HILIC-pos_Cluster_0105,Ketones
HILIC-pos_Cluster_0106,Ketones
HILIC-pos_Cluster_0107,#N/A
HILIC-pos_Cluster_0111,Pyridines and derivatives
HILIC-pos_Cluster_0112,Pyridines and derivatives
HILIC-pos_Cluster_0115,Phenols
HILIC-pos_Cluster_0117,Imidazoles
HILIC-pos_Cluster_0125,Organonitrogen compounds
HILIC-pos_Cluster_0126,#N/A
HILIC-pos_Cluster_0127,Pyranones and derivatives
HILIC-pos_Cluster_0129,Thiolactams
HILIC-pos_Cluster_0131,Azolidines
HILIC-pos_Cluster_0137,Proline and derivatives
HILIC-pos_Cluster_0139,#N/A
HILIC-pos_Cluster_0142,Alpha-hydrogen aldehydes
HILIC-pos_Cluster_0144,#N/A
HILIC-pos_Cluster_0145,Indoles
HILIC-pos_Cluster_0146,Indoles
HILIC-pos_Cluster_0147,Alpha amino acids
HILIC-pos_Cluster_0149,Alpha amino acids
HILIC-pos_Cluster_0158,Alpha amino acids
HILIC-pos_Cluster_0159,Alpha amino acids
HILIC-pos_Cluster_0161,Oxazinanes
HILIC-pos_Cluster_0162,Oxazinanes
HILIC-pos_Cluster_0163,#N/A
HILIC-pos_Cluster_0164,Cinnamaldehydes
HILIC-pos_Cluster_0166,Indoles and derivatives
HILIC-pos_Cluster_0168,Imidazopyrimidines
HILIC-pos_Cluster_0169,Pyrrolizines
HILIC-pos_Cluster_0170,Pyrrolizines
HILIC-pos_Cluster_0171,Pyrrolizines
HILIC-pos_Cluster_0174,#N/A
HILIC-pos_Cluster_0178,#N/A
HILIC-pos_Cluster_0179,#N/A
HILIC-pos_Cluster_0180,#N/A
HILIC-pos_Cluster_0182,#N/A
HILIC-pos_Cluster_0183,Aminobenzoic acids
HILIC-pos_Cluster_0185,Amphetamines and derivatives
HILIC-pos_Cluster_0186,Amphetamines and derivatives
HILIC-pos_Cluster_0187,Amphetamines and derivatives
HILIC-pos_Cluster_0188,#N/A
HILIC-pos_Cluster_0189,Imidazopyrimidines
HILIC-pos_Cluster_0190,Imidazopyrimidines
HILIC-pos_Cluster_0193,Phenols
HILIC-pos_Cluster_0195,Phenols
HILIC-pos_Cluster_0196,N-acetyl-2-arylethylamines
HILIC-pos_Cluster_0199,#N/A
HILIC-pos_Cluster_0200,"Amino acids, peptides, and analogues"
HILIC-pos_Cluster_0201,#N/A
HILIC-pos_Cluster_0202,#N/A
HILIC-pos_Cluster_0206,#N/A
HILIC-pos_Cluster_0208,L-alpha-amino acids
HILIC-pos_Cluster_0209,#N/A
HILIC-pos_Cluster_0210,Imidazolidines
HILIC-pos_Cluster_0211,#N/A
HILIC-pos_Cluster_0212,#N/A
HILIC-pos_Cluster_0213,Alpha amino acids
HILIC-pos_Cluster_0215,Alpha amino acids
HILIC-pos_Cluster_0216,N-acyl-alpha amino acids
HILIC-pos_Cluster_0217,Alpha amino acids
HILIC-pos_Cluster_0219,Alpha amino acids
HILIC-pos_Cluster_0221,Alpha amino acids
HILIC-pos_Cluster_0222,"Amino acids, peptides, and analogues"
HILIC-pos_Cluster_0223,Gamma amino acids and derivatives
HILIC-pos_Cluster_0224,Gamma amino acids and derivatives
HILIC-pos_Cluster_0225,Gamma amino acids and derivatives
HILIC-pos_Cluster_0226,#N/A
HILIC-pos_Cluster_0227,Indoles and derivatives
HILIC-pos_Cluster_0228,Cysteine and derivatives
HILIC-pos_Cluster_0232,#N/A
HILIC-pos_Cluster_0233,Pyrazines
HILIC-pos_Cluster_0235,Indoles and derivatives
HILIC-pos_Cluster_0236,Imidazopyrimidines
HILIC-pos_Cluster_0237,Alkyl-phenylketones
HILIC-pos_Cluster_0238,Alkyl-phenylketones
HILIC-pos_Cluster_0239,Alkyl-phenylketones
HILIC-pos_Cluster_0240,Hydroxycinnamic acids and derivatives
HILIC-pos_Cluster_0241,Hydroxycinnamic acids and derivatives
HILIC-pos_Cluster_0247,Alpha amino acid esters
HILIC-pos_Cluster_0249,Phenylalanine and derivatives
HILIC-pos_Cluster_0250,Amphetamines and derivatives
HILIC-pos_Cluster_0251,Amphetamines and derivatives
HILIC-pos_Cluster_0252,#N/A
HILIC-pos_Cluster_0253,Sugar acids and derivatives
HILIC-pos_Cluster_0255,#N/A
HILIC-pos_Cluster_0256,#N/A
HILIC-pos_Cluster_0257,M-methoxybenzoic acids and derivatives
HILIC-pos_Cluster_0258,Pyridines and derivatives
HILIC-pos_Cluster_0260,M-methoxybenzoic acids and derivatives
HILIC-pos_Cluster_0262,Amphetamines and derivatives
HILIC-pos_Cluster_0264,Amphetamines and derivatives
HILIC-pos_Cluster_0265,#N/A
HILIC-pos_Cluster_0266,#N/A
HILIC-pos_Cluster_0267,#N/A
HILIC-pos_Cluster_0269,#N/A
HILIC-pos_Cluster_0270,Phenols
HILIC-pos_Cluster_0274,#N/A
HILIC-pos_Cluster_0276,Alpha amino acids and derivatives
HILIC-pos_Cluster_0278,Dipeptides
HILIC-pos_Cluster_0279,Dipeptides
HILIC-pos_Cluster_0280,#N/A
HILIC-pos_Cluster_0281,Naphthalenes
HILIC-pos_Cluster_0282,#N/A
HILIC-pos_Cluster_0283,#N/A
HILIC-pos_Cluster_0285,#N/A
HILIC-pos_Cluster_0287,N-acyl-L-alpha-amino acids
HILIC-pos_Cluster_0288,Quinolines and derivatives
HILIC-pos_Cluster_0289,Quinolines and derivatives
HILIC-pos_Cluster_0292,#N/A
HILIC-pos_Cluster_0293,Asparagine and derivatives
HILIC-pos_Cluster_0294,Glutamine and derivatives
HILIC-pos_Cluster_0297,Indoles
HILIC-pos_Cluster_0299,#N/A
HILIC-pos_Cluster_0300,#N/A
HILIC-pos_Cluster_0301,Indoles and derivatives
HILIC-pos_Cluster_0303,#N/A
HILIC-pos_Cluster_0304,Gamma amino acids and derivatives
HILIC-pos_Cluster_0305,#N/A
HILIC-pos_Cluster_0307,#N/A
HILIC-pos_Cluster_0311,#N/A
HILIC-pos_Cluster_0312,Benzoxazolones
HILIC-pos_Cluster_0313,Alkyl-phenylketones
HILIC-pos_Cluster_0314,Alkyl-phenylketones
HILIC-pos_Cluster_0315,Alkyl-phenylketones
HILIC-pos_Cluster_0318,Tetrahydroisoquinolines
HILIC-pos_Cluster_0320,Tetrahydroisoquinolines
HILIC-pos_Cluster_0321,Tetrahydroisoquinolines
HILIC-pos_Cluster_0324,Cyclohexanols
HILIC-pos_Cluster_0328,#N/A
HILIC-pos_Cluster_0329,Imidazopyrimidines
HILIC-pos_Cluster_0331,Tetrahydroisoquinolines
HILIC-pos_Cluster_0332,Tetrahydroisoquinolines
HILIC-pos_Cluster_0335,Pteridines and derivatives
HILIC-pos_Cluster_0336,Amphetamines and derivatives
HILIC-pos_Cluster_0337,#N/A
HILIC-pos_Cluster_0338,#N/A
HILIC-pos_Cluster_0339,Organonitrogen compounds
HILIC-pos_Cluster_0344,Pyridines and derivatives
HILIC-pos_Cluster_0345,#N/A
HILIC-pos_Cluster_0346,#N/A
HILIC-pos_Cluster_0347,Piperidines
HILIC-pos_Cluster_0348,#N/A
HILIC-pos_Cluster_0349,Medium-chain fatty acids
HILIC-pos_Cluster_0350,#N/A
HILIC-pos_Cluster_0351,#N/A
HILIC-pos_Cluster_0355,#N/A
HILIC-pos_Cluster_0357,#N/A
HILIC-pos_Cluster_0359,#N/A
HILIC-pos_Cluster_0361,Dipeptides
HILIC-pos_Cluster_0363,Dipeptides
HILIC-pos_Cluster_0364,Ketones
HILIC-pos_Cluster_0365,Ketones
HILIC-pos_Cluster_0368,#N/A
HILIC-pos_Cluster_0369,Triazines
HILIC-pos_Cluster_0370,#N/A
HILIC-pos_Cluster_0371,#N/A
HILIC-pos_Cluster_0372,Medium-chain fatty acids
HILIC-pos_Cluster_0373,Medium-chain fatty acids
HILIC-pos_Cluster_0376,Dipeptides
HILIC-pos_Cluster_0381,#N/A
HILIC-pos_Cluster_0382,Naphthalenes
HILIC-pos_Cluster_0385,Indolyl carboxylic acids and derivatives
HILIC-pos_Cluster_0386,Tropane alkaloids
HILIC-pos_Cluster_0387,Glutamine and derivatives
HILIC-pos_Cluster_0392,#N/A
HILIC-pos_Cluster_0394,Benzene and substituted derivatives
HILIC-pos_Cluster_0395,Biphenyls and derivatives
HILIC-pos_Cluster_0397,Monoterpenoids
HILIC-pos_Cluster_0398,#N/A
HILIC-pos_Cluster_0401,Benzoic acid esters
HILIC-pos_Cluster_0402,Benzoic acid esters
HILIC-pos_Cluster_0404,N-acyl-alpha amino acids
HILIC-pos_Cluster_0406,Pyrrolopyridines
HILIC-pos_Cluster_0407,#N/A
HILIC-pos_Cluster_0408,#N/A
HILIC-pos_Cluster_0409,#N/A
HILIC-pos_Cluster_0410,#N/A
HILIC-pos_Cluster_0411,#N/A
HILIC-pos_Cluster_0412,Acylaminobenzoic acid and derivatives
HILIC-pos_Cluster_0413,Acylaminobenzoic acid and derivatives
HILIC-pos_Cluster_0415,Phenols
HILIC-pos_Cluster_0416,Azoles
HILIC-pos_Cluster_0417,Homogeneous transition metal compounds
HILIC-pos_Cluster_0420,#N/A
HILIC-pos_Cluster_0421,#N/A
HILIC-pos_Cluster_0424,#N/A
HILIC-pos_Cluster_0427,#N/A
HILIC-pos_Cluster_0429,#N/A
HILIC-pos_Cluster_0430,Diazinanes
HILIC-pos_Cluster_0431,#N/A
HILIC-pos_Cluster_0432,#N/A
HILIC-pos_Cluster_0434,N-acyl-alpha amino acids
HILIC-pos_Cluster_0436,#N/A
HILIC-pos_Cluster_0438,#N/A
HILIC-pos_Cluster_0439,Medium-chain fatty acids
HILIC-pos_Cluster_0440,Glutamine and derivatives
HILIC-pos_Cluster_0441,Glutamine and derivatives
HILIC-pos_Cluster_0442,Dipeptides
HILIC-pos_Cluster_0443,Dipeptides
HILIC-pos_Cluster_0444,Dipeptides
HILIC-pos_Cluster_0448,#N/A
HILIC-pos_Cluster_0450,#N/A
HILIC-pos_Cluster_0451,Indoles and derivatives
HILIC-pos_Cluster_0452,#N/A
HILIC-pos_Cluster_0460,Quinolines and derivatives
HILIC-pos_Cluster_0461,#N/A
HILIC-pos_Cluster_0462,#N/A
HILIC-pos_Cluster_0463,Pyrrolizines
HILIC-pos_Cluster_0464,Pyrrolizines
HILIC-pos_Cluster_0467,#N/A
HILIC-pos_Cluster_0469,Naphthalenes
HILIC-pos_Cluster_0470,Naphthalenes
HILIC-pos_Cluster_0472,#N/A
HILIC-pos_Cluster_0474,Phenol ethers
HILIC-pos_Cluster_0477,#N/A
HILIC-pos_Cluster_0478,#N/A
HILIC-pos_Cluster_0480,#N/A
HILIC-pos_Cluster_0481,#N/A
HILIC-pos_Cluster_0483,N-acyl-alpha amino acids
HILIC-pos_Cluster_0485,#N/A
HILIC-pos_Cluster_0490,#N/A
HILIC-pos_Cluster_0491,#N/A
HILIC-pos_Cluster_0494,"Alpha-branched alpha,beta-unsaturated ketones"
HILIC-pos_Cluster_0496,Pyrimidine nucleosides
HILIC-pos_Cluster_0497,#N/A
HILIC-pos_Cluster_0498,Medium-chain fatty acids
HILIC-pos_Cluster_0499,Diazines
HILIC-pos_Cluster_0500,Dipeptides
HILIC-pos_Cluster_0502,Macrolides and analogues
HILIC-pos_Cluster_0504,#N/A
HILIC-pos_Cluster_0505,Thiazoles
HILIC-pos_Cluster_0506,#N/A
HILIC-pos_Cluster_0508,#N/A
HILIC-pos_Cluster_0509,#N/A
HILIC-pos_Cluster_0512,Dipeptides
HILIC-pos_Cluster_0514,#N/A
HILIC-pos_Cluster_0515,#N/A
HILIC-pos_Cluster_0516,Triazines
HILIC-pos_Cluster_0517,#N/A
HILIC-pos_Cluster_0518,Acyl carnitines
HILIC-pos_Cluster_0520,#N/A
HILIC-pos_Cluster_0522,#N/A
HILIC-pos_Cluster_0523,#N/A
HILIC-pos_Cluster_0528,#N/A
HILIC-pos_Cluster_0530,Dipeptides
HILIC-pos_Cluster_0531,Dipeptides
HILIC-pos_Cluster_0534,Beta amino acids and derivatives
HILIC-pos_Cluster_0536,#N/A
HILIC-pos_Cluster_0537,Sesquiterpenoids
HILIC-pos_Cluster_0538,Indoles and derivatives
HILIC-pos_Cluster_0539,Imidazopyrimidines
HILIC-pos_Cluster_0541,Dipeptides
HILIC-pos_Cluster_0543,Phenylpropanes
HILIC-pos_Cluster_0544,Indoles and derivatives
HILIC-pos_Cluster_0545,#N/A
HILIC-pos_Cluster_0546,Gamma amino acids and derivatives
HILIC-pos_Cluster_0547,Tetrahydroisoquinolines
HILIC-pos_Cluster_0548,Dipeptides
HILIC-pos_Cluster_0551,Alpha amino acid amides
HILIC-pos_Cluster_0553,Indoles and derivatives
HILIC-pos_Cluster_0554,#N/A
HILIC-pos_Cluster_0555,Benzoic acids and derivatives
HILIC-pos_Cluster_0556,Tetrahydroisoquinolines
HILIC-pos_Cluster_0558,Tetrahydroisoquinolines
HILIC-pos_Cluster_0559,Tetrahydroisoquinolines
HILIC-pos_Cluster_0560,Carbonyl compounds
HILIC-pos_Cluster_0561,#N/A
HILIC-pos_Cluster_0562,Epoxides
HILIC-pos_Cluster_0563,Epoxides
HILIC-pos_Cluster_0564,Epoxides
HILIC-pos_Cluster_0565,Epoxides
HILIC-pos_Cluster_0566,#N/A
HILIC-pos_Cluster_0567,#N/A
HILIC-pos_Cluster_0568,Pyrimidines and pyrimidine derivatives
HILIC-pos_Cluster_0570,#N/A
HILIC-pos_Cluster_0571,#N/A
HILIC-pos_Cluster_0574,#N/A
HILIC-pos_Cluster_0575,#N/A
HILIC-pos_Cluster_0576,Pyridines and derivatives
HILIC-pos_Cluster_0577,Pyridines and derivatives
HILIC-pos_Cluster_0578,Pyridines and derivatives
HILIC-pos_Cluster_0579,Pyridines and derivatives
HILIC-pos_Cluster_0582,#N/A
HILIC-pos_Cluster_0583,#N/A
HILIC-pos_Cluster_0584,Keto acids and derivatives
HILIC-pos_Cluster_0585,Diazines
HILIC-pos_Cluster_0586,Organonitrogen compounds
HILIC-pos_Cluster_0587,Organonitrogen compounds
HILIC-pos_Cluster_0591,#N/A
HILIC-pos_Cluster_0592,Medium-chain fatty acids
HILIC-pos_Cluster_0595,Diazines
HILIC-pos_Cluster_0597,Monoterpenoids
HILIC-pos_Cluster_0599,#N/A
HILIC-pos_Cluster_0602,#N/A
HILIC-pos_Cluster_0603,#N/A
HILIC-pos_Cluster_0604,Carboxylic acid derivatives
HILIC-pos_Cluster_0606,Carboxylic acid derivatives
HILIC-pos_Cluster_0607,#N/A
HILIC-pos_Cluster_0610,Dipeptides
HILIC-pos_Cluster_0612,Dipeptides
HILIC-pos_Cluster_0613,#N/A
HILIC-pos_Cluster_0614,#N/A
HILIC-pos_Cluster_0615,#N/A
HILIC-pos_Cluster_0617,#N/A
HILIC-pos_Cluster_0620,Dipeptides
HILIC-pos_Cluster_0621,Dipeptides
HILIC-pos_Cluster_0622,#N/A
HILIC-pos_Cluster_0623,Dipeptides
HILIC-pos_Cluster_0624,Dipeptides
HILIC-pos_Cluster_0627,Dipeptides
HILIC-pos_Cluster_0629,L-alpha-amino acids
HILIC-pos_Cluster_0630,Azolidines
HILIC-pos_Cluster_0631,#N/A
HILIC-pos_Cluster_0634,#N/A
HILIC-pos_Cluster_0636,#N/A
HILIC-pos_Cluster_0640,Benzoic acid esters
HILIC-pos_Cluster_0644,Tetrahydroisoquinolines
HILIC-pos_Cluster_0645,#N/A
HILIC-pos_Cluster_0646,#N/A
HILIC-pos_Cluster_0647,#N/A
HILIC-pos_Cluster_0648,#N/A
HILIC-pos_Cluster_0652,Diazines
HILIC-pos_Cluster_0653,#N/A
HILIC-pos_Cluster_0654,Diazines
HILIC-pos_Cluster_0656,#N/A
HILIC-pos_Cluster_0659,#N/A
HILIC-pos_Cluster_0660,#N/A
HILIC-pos_Cluster_0662,#N/A
HILIC-pos_Cluster_0663,#N/A
HILIC-pos_Cluster_0664,#N/A
HILIC-pos_Cluster_0669,#N/A
HILIC-pos_Cluster_0670,#N/A
HILIC-pos_Cluster_0671,#N/A
HILIC-pos_Cluster_0672,#N/A
HILIC-pos_Cluster_0675,#N/A
HILIC-pos_Cluster_0676,#N/A
HILIC-pos_Cluster_0678,#N/A
HILIC-pos_Cluster_0680,#N/A
HILIC-pos_Cluster_0681,#N/A
HILIC-pos_Cluster_0682,Dipeptides
HILIC-pos_Cluster_0684,Dipeptides
HILIC-pos_Cluster_0686,N-acyl-alpha amino acids
HILIC-pos_Cluster_0688,#N/A
HILIC-pos_Cluster_0689,Nucleoside and nucleotide analogues
HILIC-pos_Cluster_0690,Pyrroloquinolines
HILIC-pos_Cluster_0692,Glutamine and derivatives
HILIC-pos_Cluster_0693,Glutamine and derivatives
HILIC-pos_Cluster_0695,Dipeptides
HILIC-pos_Cluster_0696,Peptides
HILIC-pos_Cluster_0697,Peptides
HILIC-pos_Cluster_0699,Peptides
HILIC-pos_Cluster_0700,Peptides
HILIC-pos_Cluster_0701,Dipeptides
HILIC-pos_Cluster_0703,Dipeptides
HILIC-pos_Cluster_0704,Dipeptides
HILIC-pos_Cluster_0705,Dipeptides
HILIC-pos_Cluster_0706,Dipeptides
HILIC-pos_Cluster_0707,Dipeptides
HILIC-pos_Cluster_0708,L-alpha-amino acids
HILIC-pos_Cluster_0709,#N/A
HILIC-pos_Cluster_0711,3'-thia pyrimidine nucleosides
HILIC-pos_Cluster_0712,#N/A
HILIC-pos_Cluster_0714,Dipeptides
HILIC-pos_Cluster_0715,#N/A
HILIC-pos_Cluster_0716,#N/A
HILIC-pos_Cluster_0717,#N/A
HILIC-pos_Cluster_0719,#N/A
HILIC-pos_Cluster_0720,#N/A
HILIC-pos_Cluster_0722,#N/A
HILIC-pos_Cluster_0723,#N/A
HILIC-pos_Cluster_0724,#N/A
HILIC-pos_Cluster_0726,#N/A
HILIC-pos_Cluster_0729,#N/A
HILIC-pos_Cluster_0730,#N/A
HILIC-pos_Cluster_0732,#N/A
HILIC-pos_Cluster_0733,#N/A
HILIC-pos_Cluster_0735,O-glycosyl compounds
HILIC-pos_Cluster_0736,#N/A
HILIC-pos_Cluster_0737,Diazines
HILIC-pos_Cluster_0740,Phenols
HILIC-pos_Cluster_0741,#N/A
HILIC-pos_Cluster_0742,#N/A
HILIC-pos_Cluster_0744,Flavones
HILIC-pos_Cluster_0745,#N/A
HILIC-pos_Cluster_0746,Glycerolipids
HILIC-pos_Cluster_0747,Benzazepines
HILIC-pos_Cluster_0748,"Amino acids, peptides, and analogues"
HILIC-pos_Cluster_0749,Dimethoxybenzenes
HILIC-pos_Cluster_0750,Alpha amino acids
HILIC-pos_Cluster_0751,Alpha amino acids
HILIC-pos_Cluster_0752,Alpha amino acids
HILIC-pos_Cluster_0754,#N/A
HILIC-pos_Cluster_0755,#N/A
HILIC-pos_Cluster_0756,#N/A
HILIC-pos_Cluster_0758,Fatty amides
HILIC-pos_Cluster_0759,#N/A
HILIC-pos_Cluster_0760,#N/A
HILIC-pos_Cluster_0761,#N/A
HILIC-pos_Cluster_0762,Aryl-phenylketones
HILIC-pos_Cluster_0763,Aryl-phenylketones
HILIC-pos_Cluster_0764,Glycerophosphocholines
HILIC-pos_Cluster_0768,#N/A
HILIC-pos_Cluster_0770,Isoindolines
HILIC-pos_Cluster_0771,Isoindolines
HILIC-pos_Cluster_0772,Styrenes
HILIC-pos_Cluster_0773,#N/A
HILIC-pos_Cluster_0774,#N/A
HILIC-pos_Cluster_0776,Dipeptides
HILIC-pos_Cluster_0777,Dipeptides
HILIC-pos_Cluster_0778,Dipeptides
HILIC-pos_Cluster_0779,Dipeptides
HILIC-pos_Cluster_0780,Dipeptides
HILIC-pos_Cluster_0782,#N/A
HILIC-pos_Cluster_0783,Biphenyls and derivatives
HILIC-pos_Cluster_0784,Dipeptides
HILIC-pos_Cluster_0786,#N/A
HILIC-pos_Cluster_0787,#N/A
HILIC-pos_Cluster_0788,#N/A
HILIC-pos_Cluster_0789,Cyanogenic glycosides
HILIC-pos_Cluster_0791,#N/A
HILIC-pos_Cluster_0792,Diazines
HILIC-pos_Cluster_0794,Dipeptides
HILIC-pos_Cluster_0795,#N/A
HILIC-pos_Cluster_0798,N-acetyl-2-arylethylamines
HILIC-pos_Cluster_0799,Hydroxycinnamic acids and derivatives
HILIC-pos_Cluster_0800,Hydroxycinnamic acids and derivatives
HILIC-pos_Cluster_0801,Benzene and substituted derivatives
HILIC-pos_Cluster_0802,Hydroxycinnamic acids and derivatives
HILIC-pos_Cluster_0804,Cyclic ketones
HILIC-pos_Cluster_0806,#N/A
HILIC-pos_Cluster_0807,Gamma amino acids and derivatives
HILIC-pos_Cluster_0808,Gamma amino acids and derivatives
HILIC-pos_Cluster_0810,#N/A
HILIC-pos_Cluster_0814,Alpha amino acids
HILIC-pos_Cluster_0815,#N/A
HILIC-pos_Cluster_0816,#N/A
HILIC-pos_Cluster_0819,#N/A
HILIC-pos_Cluster_0820,#N/A
HILIC-pos_Cluster_0821,Purine nucleosides
HILIC-pos_Cluster_0823,#N/A
HILIC-pos_Cluster_0824,Dipeptides
HILIC-pos_Cluster_0825,Dipeptides
HILIC-pos_Cluster_0826,Dipeptides
HILIC-pos_Cluster_0828,#N/A
HILIC-pos_Cluster_0829,Dipeptides
HILIC-pos_Cluster_0830,Dipeptides
HILIC-pos_Cluster_0832,#N/A
HILIC-pos_Cluster_0833,Isoflavonoids
HILIC-pos_Cluster_0836,#N/A
HILIC-pos_Cluster_0837,Long-chain fatty acids
HILIC-pos_Cluster_0838,Sesquiterpenoids
HILIC-pos_Cluster_0839,Sesquiterpenoids
HILIC-pos_Cluster_0840,#N/A
HILIC-pos_Cluster_0842,Morphinans
HILIC-pos_Cluster_0844,Dipeptides
HILIC-pos_Cluster_0847,Glucuronic acid derivatives
HILIC-pos_Cluster_0848,#N/A
HILIC-pos_Cluster_0849,Glucuronic acid derivatives
HILIC-pos_Cluster_0851,Harmala alkaloids
HILIC-pos_Cluster_0853,Cembrane diterpenoids
HILIC-pos_Cluster_0854,#N/A
HILIC-pos_Cluster_0855,Diphenylmethanes
HILIC-pos_Cluster_0856,Phenylalanine and derivatives
HILIC-pos_Cluster_0857,Benzodioxoles
HILIC-pos_Cluster_0860,Dipeptides
HILIC-pos_Cluster_0861,#N/A
HILIC-pos_Cluster_0862,#N/A
HILIC-pos_Cluster_0863,Diphenylmethanes
HILIC-pos_Cluster_0864,Harmala alkaloids
HILIC-pos_Cluster_0865,Harmala alkaloids
HILIC-pos_Cluster_0866,N-acyl-alpha amino acids
HILIC-pos_Cluster_0867,Dipeptides
HILIC-pos_Cluster_0869,#N/A
HILIC-pos_Cluster_0870,Androstane steroids
HILIC-pos_Cluster_0871,#N/A
HILIC-pos_Cluster_0872,Fatty acyl glycosides
HILIC-pos_Cluster_0873,Fatty acyl glycosides
HILIC-pos_Cluster_0874,Fatty acyl glycosides
HILIC-pos_Cluster_0875,Dipeptides
HILIC-pos_Cluster_0876,Dipeptides
HILIC-pos_Cluster_0877,Dipeptides
HILIC-pos_Cluster_0879,Dipeptides
HILIC-pos_Cluster_0880,Halobenzenes
HILIC-pos_Cluster_0881,Pentoses
HILIC-pos_Cluster_0882,#N/A
HILIC-pos_Cluster_0883,#N/A
HILIC-pos_Cluster_0885,Fatty alcohols
HILIC-pos_Cluster_0887,#N/A
HILIC-pos_Cluster_0890,Dipeptides
HILIC-pos_Cluster_0891,Beta amino acids and derivatives
HILIC-pos_Cluster_0892,Benzoic acid esters
HILIC-pos_Cluster_0893,Dipeptides
HILIC-pos_Cluster_0894,Dipeptides
HILIC-pos_Cluster_0895,Dipeptides
HILIC-pos_Cluster_0896,#N/A
HILIC-pos_Cluster_0897,Lineolic acids and derivatives
HILIC-pos_Cluster_0898,Quinolines and derivatives
HILIC-pos_Cluster_0899,Fatty amides
HILIC-pos_Cluster_0901,#N/A
HILIC-pos_Cluster_0902,Guaianolides and derivatives
HILIC-pos_Cluster_0903,Cinnamic acids and derivatives
HILIC-pos_Cluster_0905,#N/A
HILIC-pos_Cluster_0907,Fatty amides
HILIC-pos_Cluster_0908,#N/A
HILIC-pos_Cluster_0909,#N/A
HILIC-pos_Cluster_0911,Polyethylene glycols
HILIC-pos_Cluster_0912,Fatty acid esters
